BLOCK 1,w,x,y,z,,,Block,Final z value,Approximate effect,Needed outcome in valid case,Needed condition,,Notes:
inp w,w,,,,,,1,26z+w+12,expands z,expands z,,,"w is positive integer from 1 or 9, so z%26+N where N > 9 means that when x is e.g. z%26+11, that can never be equal to a positive integer 1 to 9, even if z%26 is 0."
mul x 0,,0,,,,,2,26z+w+10,expands z,expands z,,,"since there are 7 steps that expand z, if we have a hope of letting z be 0 at the end, we need an equivalent number (7) steps that shrink z; so all the steps with either/or outcome must just be floor(z/26)"
add x z,,z,,,,,3,26z+w+8,expands z,expands z,,,
mod x 26,,z%26,,,,,4,26z+w+4,expands z,expands z,,,"now we are left with 5 unique equations in z and w, such that when they are satisfied, the branching code blocks yield a possible good result"
div z 1,,,,z,,,5,26*floor(z/26)+w+3 or floor(z/26),keeps z the same or shrinks it,shrinks z,z%26=w,,z%26=w
add x 10,,z%26+10,,,,,6,26z+w+10,expands z,expands z,,,z%26-12 = w
eql x w,,0,,,,,7,26z+w+6,expands z,expands z,,,z%26-15 = w
eql x 0,,1,,,,,8,26*floor(z/26)+w+13 or floor(z/26),keeps z the same or shrinks it,shrinks z,z%26-12 = w,,z%26-4=w
mul y 0,,,0,,,,9,26*floor(z/26)+w+8 or floor(z/26),keeps z the same or shrinks it,shrinks z,z%26-15 = w,,z%26-5=w
add y 25,,,25,,,,10,26*floor(z/26)+w+1 or floor(z/26),keeps z the same or shrinks it,shrinks z,z%26-15 = w,,
mul y x,,,25,,,,11,26*floor(z/26)+w+7 or floor(z/26),keeps z the same or shrinks it,shrinks z,z%26-4=w,,
add y 1,,,26,,,,12,26z+w+6,expands z,expands z,,,
mul z y,,,,26z,,,13,26*floor(z/26)+w+9 or floor(z/26),keeps z the same or shrinks it,shrinks z,z%26-5=w,,
mul y 0,,,0,,,,14,26*floor(z/26)+w+9 or floor(z/26),keeps z the same or shrinks it,shrinks z,z%26-12=w,,
add y w,,,w,,,,,,,,,,
add y 12,,,w+12,,,,,,,,,,
mul y x,,,w+12 or 0,,,,,,,,,,
add z y,,,,26z+w+12,,,,,,,,,
,,,,,,,,,,,,,
BLOCK 2,w,x,y,z,,,,,,,,,
inp w,w,,,,,,,,,,,,
mul x 0,,0,,,,,,,,,,,
add x z,,z,,,,,,,,,,,
mod x 26,,z%26,,,,,,,,,,,
div z 1,,,,z,,,,,,,,,
add x 10,,z%26+10,,,,,,,,,,,
eql x w,,0,,,,,,,,,,,
eql x 0,,1,,,,,,,,,,,
mul y 0,,,0,,,,,,,,,,
add y 25,,,25,,,,,,,,,,
mul y x,,,25,,,,,,,,,,
add y 1,,,26,,,,,,,,,,
mul z y,,,,26z,,,,,,,,,
mul y 0,,,0,,,,,,,,,,
add y w,,,w,,,,,,,,,,
add y 10,,,w+10,,,,,,,,,,
mul y x,,,w+10 or 0,,,,,,,,,,
add z y,,,,26z+w+10,,,,,,,,,
,,,,,,,,,,,,,
BLOCK 3,w,x,y,z,,,,,,,,,
inp w,w,,,,,,,,,,,,
